"NombreCat","CodTip","Cantidad","Total"
"AZUCAR                                            ",201612,630,71190.000001
"AGUA MINERAL                                      ",201612,19,229.4014
"GOLOSINAS - CARAMELOS                             ",201612,25,295.5018
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201612,5,1261.72
"COMIDAS INSTANTANEAS                              ",201612,24,151.6536
"GOLOSINAS - CHOCOLATES                            ",201612,1,62
"EMBUTIDOS                                         ",201612,34,223.055599
"ACEITES                                           ",201612,482,22256.095441
"CERVEZAS                                          ",201612,1,76.65
"PANES Y KEKES                                     ",201612,142,227.044998
"GOLOSINAS - GALLETAS                              ",201612,186,7523.539999
"ARTICULOS DE LIMPIEZA                             ",201612,120,1570.344
"BEBIDAS GASEOSAS                                  ",201612,14,106.52896
"AVENAS                                            ",201612,50,725.050001
"REHIDRATANTES                                     ",201612,1,15.3
"YOGURT                                            ",201612,46,237.2972
"SUAVIZANTES                                       ",201612,5,247.62
"AMBIENTADORES                                     ",201612,5,226.79
"DETERGENTES                                       ",201612,60,3654.23
"PAÑALES                                           ",201612,98,8455.03
"CONSERVAS DE PESCADOS                             ",201612,24,111.0144
"COCOAS Y CHOCOLATES                               ",201612,11,1296.48
"ENERGIZANTE                                       ",201612,1,9.829999
"LEJIAS                                            ",201612,40,550.81
"ARROZ EMBOLSADO                                   ",201701,2,87.36
"JUGOS                                             ",201701,114,1483.564601
"CONDIMENTOS Y VINAGRES                            ",201701,4,443.84
"MANTEQUILLAS Y MARGARINAS                         ",201701,2,468.21
"COMIDAS INSTANTANEAS                              ",201701,6,34.8
"PAPEL HIGIENICO                                   ",201701,20,307.51
"CHAMPAGNE                                         ",201701,20,85.37612
"GOLOSINAS - MARSHMALLOWS                          ",201701,8,40.8
"POSTRES VARIOS                                    ",201701,1,24.0956
"HELADOS                                           ",201701,7,148.9
"AGUA MINERAL                                      ",201701,12,57.15
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201701,7,1415.080001
"GOLOSINAS - CARAMELOS                             ",201701,8,299.116202
"CEREALES Y DERIVADOS DE LA SOYA                   ",201701,3,72.16
"ENSERES DE LIMPIEZA                               ",201701,3,127.33
"BOCADITOS                                         ",201701,54,236.0236
"OTROS",201701,11,7144.03
"JABON DE TOCADOR                                  ",201701,24,121.69
"DETERGENTES                                       ",201701,2,141.2
"FIDEOS Y PASTAS                                   ",201701,550,2272.755399
